1	Peacoat	Black Slacks	High Heels	Chunky Scarf	super	Business
2	Anorak	Skinny Jeans	Moon Boots	Furry Hat	super	Casual
3	Fleece Jogger	Sweatpants	Tennis Shoes	Beanie	super	Athletic
4	Parka with a Dress	Black Tights	Wellingtons	Light Scarf	super	Event
5	Trench Coat	Black Slacks	Wedged Booties	Gloves	cold	Business
6	Leather Jacket	Jeans	Hiking Boots	Light Scarf	cold	Casual
7	Fleece Jogger	Yoga Pants	Tennis Shoes	Earmuffs	cold	Athletic
8	Blazer	Black Slacks	Chunky Heels	Red Lipstick	cold	Event
9	Blazer	Black Slacks	Knee High Boots	Hair Bow	medium	Business
10	Duster	Black Leggings	Moccasin Boots	Fringed Purse	medium	Casual
11	Long Sleeve Zip-up	Yoga Pants	Running Shoes	FitBit	medium	Athletic
12	Blazer	Pencil Skirt	Ballet Flats	Earrings	medium	Event
13	Printed Tunic	Black Tights	Knee High Boots	Watch	warm	Business
14	Band T-Shirt	Jean Shorts	Gladiator Sandals	Fringed Purse	warm	Casual
15	Tank Top	Athletic Shorts	Running Shoes	Baseball Hat	warm	Athletic
16	Dress	Thigh High Socks	Wedged High Heels	Necklace	warm	Event
17	Billowy Tank Top	Black Slacks	Open Toed Heels	Earrings	hot	Business
18	Sundress	Thigh High Socks	Flip Flops	Sunglasses	hot	Casual
19	Tank Top	Bicycle Shorts	Tennis Shoes	Headband	hot	Athletic
20	Tank Top Blouse	Pencil Skirt	Espadrilles	Lipstick	hot	Event
